Id,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q9_1,Q9_2,Q9_3,Q9_4,Q10_1,Q10_2,Q10_3,Q10_4,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q14,Q15,Q16,Q17_1,Q17_2,Q17_3,Q17_4,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q18_9,Q18_10,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q28_8,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q29_9,Q29_10,Q30,Q31,Q32,Q33,ppage,educ,race,gender,income_cat,voter_category
15,1,1,1,1,1,1,1,1,1,1,2,3,4,4,1,2,2,1,1,1,2,1,2,1,1,1,1,4,2,2,2,3,4,1,1,1,4,3,4,2,2,1,2,2,2,2,2,2,2,1,5,1,1,1,3,4,2,2,2,2,2,2,2,2,2,2,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,,1,3,1,1,1,1,1,1,1,1,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,,,,,,,,,,,1,1.0,,,76,High school or less,White,Female,$75-125k,sporadic
16,1,1,1,1,1,1,1,1,1,2,1,4,2,4,4,3,4,1,1,1,1,1,1,1,2,1,4,2,2,1,1,2,1,1,1,1,4,4,4,2,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,-1,-1,1,1,,2,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,,,,,,,,,,,2,,1.0,,73,Some college,White,Female,Less than $40k,always
17,1,1,1,1,1,1,1,1,2,1,1,4,4,1,1,3,3,1,1,1,1,2,1,1,3,2,1,3,3,2,2,2,4,1,2,1,4,4,4,2,2,2,2,2,2,2,2,2,2,1,4,1,1,1,4,4,2,2,2,2,2,2,2,1,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,,1,3,1,1,1,1,1,1,1,1,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,,,,,,,,,,,1,1.0,,,52,College,White,Female,$125k or more,always
18,1,1,1,1,2,1,2,1,1,3,1,3,4,3,2,2,2,2,1,1,2,3,3,1,2,1,3,3,2,1,2,2,4,2,1,1,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,4,2,2,2,2,2,2,2,2,2,2,1,1,-1,-1,-1,1,-1,1,-1,-1,1,1,,1,1,1,1,1,1,1,1,1,1,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,,,,,,,,,,,5,,,1.0,63,Some college,White,Male,$75-125k,always
19,1,1,1,1,1,1,1,1,1,2,3,2,4,3,2,2,2,1,2,3,2,1,1,2,2,1,2,2,1,2,2,2,3,1,1,1,4,4,4,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,3,3,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,1,,1,3,2,1,1,1,1,1,1,1,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,,,,,,,,,,,5,,,2.0,81,Some college,White,Male,Less than $40k,always
20,1,2,3,3,2,1,3,1,2,2,3,2,3,1,1,1,2,3,2,4,1,2,2,2,4,1,3,4,2,2,3,3,4,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,4,2,2,3,3,2,2,2,2,2,2,2,2,2,2,1,-1,-1,1,-1,-1,-1,-1,1,-1,2,2,2.0,3,1,3,4,2,2,2,2,2,2,,,,,,,,,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5,,,1.0,46,Some college,Other/Mixed,Male,Less than $40k,rarely/never
21,1,1,1,2,1,1,1,1,2,2,3,4,4,3,1,3,2,2,2,2,3,3,1,1,3,1,1,3,1,2,2,1,3,1,1,1,2,2,4,1,2,2,2,2,2,1,1,2,2,1,3,1,1,1,2,4,2,2,2,2,2,2,2,2,2,2,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,,1,2,2,1,1,1,1,1,1,1,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,,,,,,,,,,,1,2.0,,,62,Some college,White,Male,$40-75k,always
22,1,1,1,2,2,1,3,1,1,4,2,1,1,3,2,2,2,1,2,2,1,2,1,1,3,1,4,3,1,1,2,1,2,1,1,1,4,4,4,2,2,2,2,2,2,1,2,2,2,5,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,,2,3,2,1,1,1,1,1,1,1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,3,,,2.0,62,College,Black,Male,$75-125k,sporadic
23,1,1,1,1,1,1,1,1,1,1,2,2,4,4,1,1,4,1,1,1,1,3,2,1,3,1,1,3,2,2,2,2,3,1,2,1,4,2,3,2,2,2,2,2,2,1,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,-1,-1,-1,1,-1,-1,1,-1,1,1,,1,3,2,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,3,,,1.0,84,High school or less,White,Male,Less than $40k,sporadic
24,1,1,1,1,1,1,1,1,1,1,3,4,4,1,1,1,4,1,1,1,1,1,1,1,2,1,1,4,2,2,2,3,4,1,4,1,4,4,4,2,2,2,2,2,2,1,2,2,2,1,5,1,2,1,4,4,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,,1,3,1,1,1,1,1,1,1,1,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,,,,,,,,,,,1,1.0,,,53,College,White,Female,$75-125k,sporadic
25,1,1,2,1,4,1,4,3,2,4,2,1,2,4,3,2,2,4,3,2,2,1,2,1,4,1,4,1,1,1,1,1,2,1,1,2,2,4,3,2,2,1,2,2,2,2,2,2,2,5,2,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,-1,1,1,1,-1,1,1,-1,-1,-1,1,1,,2,1,1,1,1,1,1,1,1,1,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,2,,1.0,,71,High school or less,White,Female,Less than $40k,always
26,1,2,2,2,3,1,3,2,2,1,3,1,3,3,1,2,1,2,3,3,2,4,1,1,3,1,3,2,3,2,3,3,2,2,2,2,2,4,4,1,1,1,2,2,2,1,1,1,2,5,2,3,3,3,4,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,-1,2,2,6.0,2,1,3,4,2,2,2,2,2,2,,,,,,,,,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,,2.0,,50,High school or less,Black,Female,Less than $40k,rarely/never
27,1,1,2,2,1,1,1,1,1,2,3,2,4,1,1,2,2,1,2,3,3,3,2,2,3,1,4,4,1,2,4,1,3,2,2,1,3,4,4,2,1,2,2,2,2,2,2,2,2,4,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,-1,1,1,-1,-1,1,-1,-1,1,-1,1,1,,3,1,2,1,1,1,1,1,1,1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,3,,,1.0,77,Some college,White,Female,$75-125k,sporadic
28,1,1,1,-1,-1,1,1,1,1,1,4,4,4,3,2,4,2,1,1,1,3,4,1,1,1,2,1,3,3,3,2,1,3,1,1,1,3,4,4,2,2,2,2,2,2,2,2,2,2,1,4,1,1,1,3,3,2,2,2,2,2,2,2,2,2,2,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,,1,3,1,1,1,1,1,1,1,1,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,,,,,,,,,,,1,1.0,,,67,College,White,Male,$40-75k,always
29,1,1,1,1,3,1,1,1,2,1,2,4,4,2,1,2,3,1,2,3,3,2,3,1,2,2,2,3,2,2,2,2,4,2,2,1,4,4,4,2,1,2,2,2,2,2,2,2,2,1,5,1,1,1,2,3,2,2,2,2,2,2,2,2,2,2,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,,1,3,1,1,1,1,1,1,1,1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,1,1.0,,,80,High school or less,White,Female,Less than $40k,always
30,1,1,2,2,3,1,3,3,2,4,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,2,3,3,2,2,3,2,2,2,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,-1,1,1,-1,1,-1,-1,-1,-1,1,1,,1,2,3,1,1,1,1,1,1,1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,,,,,,,,,,,3,,,1.0,54,College,White,Male,$125k or more,always
31,1,1,2,2,1,1,1,1,2,2,3,2,4,3,3,1,2,2,2,3,2,3,1,1,4,1,4,3,2,2,4,2,2,4,2,1,2,4,4,1,1,2,2,2,2,2,2,2,2,4,2,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2,1,1,-1,-1,-1,1,-1,-1,-1,-1,1,1,,2,3,2,1,1,1,1,1,1,1,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,,,,,,,,,,,3,,,2.0,53,Some college,White,Male,$40-75k,always
32,1,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,3,3,3,3,3,2,1,4,1,1,1,3,1,2,1,2,1,1,1,3,2,3,1,1,2,2,2,2,1,2,2,2,2,1,3,1,2,3,3,2,2,2,2,2,2,2,1,1,2,-1,-1,-1,1,-1,1,1,-1,-1,-1,1,1,,2,1,2,3,1,1,1,1,1,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,,1.0,,47,Some college,Hispanic,Male,$40-75k,rarely/never
33,1,2,1,2,3,1,3,1,1,2,1,3,4,3,1,1,4,3,1,2,4,3,4,1,3,2,2,4,3,2,2,3,4,2,2,2,4,3,4,2,2,2,2,2,2,1,1,2,2,3,5,1,2,1,3,3,2,2,2,2,2,2,2,1,2,2,-1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,,3,3,3,1,1,1,1,1,1,1,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,3,,,1.0,68,College,White,Male,$75-125k,always
34,1,1,1,1,1,1,1,1,2,1,3,1,3,3,3,2,2,1,1,1,3,4,4,1,3,1,3,2,2,1,2,2,2,2,2,1,2,4,4,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,3,3,2,2,2,2,2,2,2,2,2,2,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,,2,3,1,1,1,1,1,1,1,1,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,,,,,,,,,,,3,,,2.0,73,High school or less,White,Male,$40-75k,sporadic
35,1,1,1,1,4,1,3,3,2,4,1,1,1,4,3,3,1,1,1,2,1,1,1,1,2,1,4,2,1,1,2,2,2,2,2,1,3,4,4,2,2,2,2,2,2,2,2,2,2,5,1,1,3,1,2,4,2,2,2,2,2,2,2,2,2,2,1,1,1,1,-1,1,1,-1,-1,-1,1,1,,2,1,1,1,1,1,1,2,2,2,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,,,,,,,,,,,2,,1.0,,62,High school or less,Other/Mixed,Male,$75-125k,sporadic
36,1,1,1,1,1,1,1,1,1,1,-1,1,3,3,2,3,2,1,1,2,3,3,1,1,2,1,2,2,1,2,3,2,2,3,1,1,1,1,2,2,2,1,2,2,2,2,1,2,2,3,1,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,1,-1,1,1,-1,-1,1,1,,2,1,2,1,2,1,2,1,2,1,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,,,,,,,,,,,2,,1.0,,58,High school or less,Black,Female,Less than $40k,sporadic
37,1,2,3,3,3,2,2,2,2,2,2,1,3,3,2,2,2,1,4,4,2,4,4,1,2,1,4,2,2,1,3,3,2,2,2,1,2,4,3,2,2,1,2,2,2,2,2,1,2,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,,2,1,3,2,1,1,1,1,1,1,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3,,,-1.0,58,High school or less,White,Female,$75-125k,sporadic
38,1,1,1,1,1,1,1,1,2,1,2,1,2,-1,2,2,2,1,1,1,2,2,1,1,2,1,2,2,2,-1,2,2,2,1,2,1,3,4,-1,2,2,2,2,2,2,2,2,2,2,3,-1,2,1,2,3,3,2,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,,3,1,2,1,2,1,-1,1,-1,1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,3,,,2.0,87,High school or less,White,Female,Less than $40k,always
39,1,1,1,1,1,1,1,1,1,2,1,1,1,4,3,2,1,3,2,4,3,3,4,1,3,1,4,4,2,1,2,2,1,4,4,1,3,4,4,2,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,,2,3,1,1,1,1,1,1,1,1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,2,,1.0,,55,Some college,Black,Male,$40-75k,sporadic
40,1,2,1,2,1,1,3,4,2,1,1,2,3,1,1,2,3,2,1,3,3,4,2,1,3,2,4,4,1,1,2,2,2,2,2,3,4,3,3,1,1,2,2,2,2,2,2,1,2,1,1,3,2,1,1,1,2,1,1,1,1,2,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,2,3,6.0,1,1,3,4,2,2,2,2,2,2,,,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,5,,,2.0,52,High school or less,White,Male,$40-75k,rarely/never
41,1,2,1,3,4,1,4,2,2,1,2,1,4,4,2,2,2,3,2,2,2,2,2,1,3,1,4,4,2,1,3,2,3,2,1,2,2,4,4,2,2,2,2,2,2,1,2,2,2,5,2,2,1,1,1,4,2,2,2,2,2,2,2,2,2,2,-1,1,1,-1,1,1,1,-1,-1,-1,1,1,,1,1,2,1,1,1,1,1,1,1,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,,,,,,,,,,,3,,,2.0,64,Some college,Other/Mixed,Female,$75-125k,sporadic
42,1,1,1,1,1,1,2,2,1,1,1,1,2,3,4,3,1,1,2,2,1,2,2,1,2,1,3,3,2,1,2,1,1,2,1,1,3,3,4,2,2,2,2,2,2,2,2,2,2,3,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,1,1,1,1,-1,-1,1,1,,2,1,1,1,1,1,1,1,1,1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,,,,,,,,,,,2,,1.0,,82,Some college,White,Male,$125k or more,always
43,1,1,2,1,2,1,1,2,1,4,1,1,2,4,2,2,1,2,1,1,2,2,2,1,2,1,2,3,2,1,2,2,2,2,1,2,2,4,4,2,2,2,2,2,2,1,2,2,2,5,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,-1,1,1,1,1,1,1,-1,-1,1,1,,2,1,1,1,1,1,1,1,1,1,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,,,,,,,,,,,3,,,2.0,58,College,White,Female,$125k or more,always
44,1,1,2,1,1,3,2,2,3,1,1,2,3,1,1,1,3,3,2,2,4,1,4,1,4,1,2,4,4,4,4,4,4,3,2,1,4,2,4,2,2,2,2,2,2,2,2,1,2,2,3,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,1,,1,2,1,1,1,1,1,1,1,1,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,,,,,,,,,,,3,,,1.0,55,College,White,Male,$40-75k,always
45,1,1,1,1,1,1,1,1,1,1,4,3,4,4,1,2,2,2,3,3,2,4,1,1,2,2,1,3,1,2,2,2,3,1,1,1,4,4,4,2,1,2,2,2,2,2,2,2,2,1,5,1,2,3,2,4,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,,1,1,2,1,1,1,1,1,1,1,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,1,1.0,,,84,Some college,White,Female,$40-75k,always
46,1,1,1,1,4,1,2,1,2,2,1,1,2,3,2,3,1,1,1,1,2,1,1,1,3,1,3,3,2,1,3,2,2,2,1,1,4,4,4,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,,2,1,1,1,1,1,1,1,1,1,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,3,,,2.0,66,Some college,White,Female,$40-75k,always
